Ensembl_gene_ID	HGNC_symbol
ENSRNOG00000058451	LOC120100203
ENSRNOG00000063775	LOC102546375
ENSRNOG00000049759	Nlrp2
ENSRNOG00000070824	Rnu6-891
ENSRNOG00000068327	Pdcd5
ENSRNOG00000019812	Nr1h2
ENSRNOG00000013448	Mrgprd
ENSRNOG00000050486	Foxd4
ENSRNOG00000060311	LOC120100340
ENSRNOG00000064747	Or5p72
ENSRNOG00000025940	Mettl9
ENSRNOG00000057115	Rnu2-57
ENSRNOG00000059590	LOC120100223
ENSRNOG00000070257	LOC102556157
ENSRNOG00000053764	Snord33
ENSRNOG00000020393	Rhog
ENSRNOG00000067076	Frat1
ENSRNOG00000060156	Snord28b
ENSRNOG00000052300	Snord35b
ENSRNOG00000063644	Rnu6-826
ENSRNOG00000014969	Lzts2
ENSRNOG00000054315	Snord27
ENSRNOG00000053158	LOC120100341
ENSRNOG00000010840	Adamtsl3
ENSRNOG00000070884	LOC120100358
ENSRNOG00000068967	LOC120100105
ENSRNOG00000042927	Sbk3
ENSRNOG00000067278	LOC108349532
ENSRNOG00000010308	Nr2f2
ENSRNOG00000066280	Vmn2r116l-ps25
ENSRNOG00000017277	Igsf6
ENSRNOG00000046395	LOC120100003
ENSRNOG00000069063	LOC120100494
ENSRNOG00000061138	Snord30
ENSRNOG00000013426	Mrgprf
ENSRNOG00000017851	Etfb
ENSRNOG00000042465	Zbtb32
ENSRNOG00000062533	LOC120100431
ENSRNOG00000056942	LOC120100232
ENSRNOG00000059323	LOC120100373
ENSRNOG00000065285	LOC102548633
ENSRNOG00000015058	Gucy2e
ENSRNOG00000061556	LOC120100477
ENSRNOG00000011439	Grk5
ENSRNOG00000017635	Inpp5a
ENSRNOG00000056397	LOC120100233
ENSRNOG00000055386	LOC120100364
ENSRNOG00000038625	Sbk2
ENSRNOG00000065098	Hmgb1-ps4
ENSRNOG00000029394	Dusp8
ENSRNOG00000065322	Or51v8
ENSRNOG00000060079	Snord26
ENSRNOG00000017884	Dnajb6-ps10
ENSRNOG00000060321	LOC120100417
ENSRNOG00000067323	LOC120100146
ENSRNOG00000021082	Kdelr1
ENSRNOG00000058132	LOC120100227
ENSRNOG00000053593	RNaseP_nuc
ENSRNOG00000063065	LOC120100496
ENSRNOG00000020197	LOC108348067
ENSRNOG00000069291	Or52ae8b
ENSRNOG00000016687	Ssc5d
ENSRNOG00000059273	LOC120100199
ENSRNOG00000059984	Dll1
ENSRNOG00000067834	LOC120100486
ENSRNOG00000053279	LOC120100359
ENSRNOG00000055124	AABR07001942.1
ENSRNOG00000022729	Mrgprx2l
ENSRNOG00000020363	Med25
ENSRNOG00000066299	LOC103690914
ENSRNOG00000056238	LOC120100200
ENSRNOG00000020871	Ltbp4
ENSRNOG00000066283	LOC120100111
ENSRNOG00000033843	AABR07007121.1
ENSRNOG00000029978	Or52a20
ENSRNOG00000021151	Ppp1r14b
ENSRNOG00000053533	LOC120100208
ENSRNOG00000017054	Kcne3
ENSRNOG00000047429	Vom1r-ps51
ENSRNOG00000018310	Eno4
ENSRNOG00000030404	Arrb1
ENSRNOG00000052756	LOC120100211
ENSRNOG00000054533	LOC120100346
ENSRNOG00000069636	Zfp748-ps3
ENSRNOG00000070724	LOC120100158
ENSRNOG00000021093	Syngr4
ENSRNOG00000069368	LOC120100137
ENSRNOG00000014004	Ncoa7
ENSRNOG00000047816	Ccs
ENSRNOG00000018433	Hps6
ENSRNOG00000032984	AC107531.1
ENSRNOG00000059173	LOC120100415
ENSRNOG00000055133	LOC120100447
ENSRNOG00000058564	AABR07001592.2
ENSRNOG00000055351	LOC120100434
ENSRNOG00000069212	Rnu6-651
ENSRNOG00000020925	Ccdc86
ENSRNOG00000014327	Csrp3
ENSRNOG00000046339	Vom2r30
ENSRNOG00000025163	Or51b4b
ENSRNOG00000063321	LOC120100445
ENSRNOG00000066499	C1H10orf95
ENSRNOG00000060653	LOC120100457
ENSRNOG00000063410	LOC120100483
ENSRNOG00000070917	LOC102556098
ENSRNOG00000055259	Phldb3
ENSRNOG00000055350	LOC120100195
ENSRNOG00000056883	LOC120100218
ENSRNOG00000062807	LOC108349671
ENSRNOG00000043313	LOC687097
ENSRNOG00000054059	Rnu6-1267
ENSRNOG00000069104	Or51b4
ENSRNOG00000059438	LOC120100311
ENSRNOG00000051968	AABR07002066.2
ENSRNOG00000067201	LOC120100148
ENSRNOG00000012140	Cep89
ENSRNOG00000067084	LOC120100153
ENSRNOG00000014828	Avpi1
ENSRNOG00000065933	LOC120100493
ENSRNOG00000069668	LOC120100429
ENSRNOG00000020497	Plekha1
ENSRNOG00000028982	Mrgprb3
ENSRNOG00000024630	Igsf23
ENSRNOG00000025154	LOC100359574
ENSRNOG00000014448	Bmal1
ENSRNOG00000061255	Rnu6-105
ENSRNOG00000058387	LOC120100436
ENSRNOG00000071133	Or51b17
ENSRNOG00000057415	LOC120100454
ENSRNOG00000014266	RGD1560730
ENSRNOG00000055387	LOC120100461
ENSRNOG00000059739	Y_RNA
ENSRNOG00000066060	Or5b124
ENSRNOG00000067359	LOC120100407
ENSRNOG00000015753	Epn1
ENSRNOG00000067461	Rps12l2
ENSRNOG00000067992	Vom2r1
ENSRNOG00000052577	Snora54
ENSRNOG00000043392	Or51k2
ENSRNOG00000053785	LOC120100363
ENSRNOG00000028781	Abcc6
ENSRNOG00000053931	Rnu11-3
ENSRNOG00000037156	Mrgprb2
ENSRNOG00000046966	Mir3085
ENSRNOG00000056494	LOC120100441
ENSRNOG00000054921	LOC120100438
ENSRNOG00000054561	Isg20
ENSRNOG00000040387	Mir762
ENSRNOG00000052568	LOC120100289
ENSRNOG00000017351	Or52e4
ENSRNOG00000070319	LOC100912683
ENSRNOG00000065720	LOC120100398
ENSRNOG00000011306	Myod1
ENSRNOG00000063169	LOC102548076
ENSRNOG00000019491	Stard10
ENSRNOG00000051974	Mir291a
ENSRNOG00000067353	LOC120100406
ENSRNOG00000019626	Slc27a5
ENSRNOG00000031381	RGD1561333
ENSRNOG00000070650	LOC120100443
ENSRNOG00000021153	Fkbp2
ENSRNOG00000068216	Or51q1d
ENSRNOG00000036246	Mir483
ENSRNOG00000055625	LOC120100113
ENSRNOG00000023081	AABR07001348.1
ENSRNOG00000053871	LOC120100456
ENSRNOG00000037137	Svip
ENSRNOG00000014380	LOC102555672
ENSRNOG00000031224	Or9i13
ENSRNOG00000035472	Mir204
ENSRNOG00000061593	LOC120100349
ENSRNOG00000056864	LOC120100188
ENSRNOG00000065938	Or51q1
ENSRNOG00000017150	Med10
ENSRNOG00000069774	LOC120100356
ENSRNOG00000057453	Mir293
ENSRNOG00000070032	LOC120100130
ENSRNOG00000015168	LOC365238
ENSRNOG00000022308	LOC120099997
ENSRNOG00000069196	Or51q1e
ENSRNOG00000020517	Prrg2
ENSRNOG00000062805	Or14c39
ENSRNOG00000057697	LOC120100190
ENSRNOG00000040448	Mir146b
ENSRNOG00000060169	LOC120100140
ENSRNOG00000015717	Ptpre
ENSRNOG00000015914	U2af2
ENSRNOG00000019141	Ch25h
ENSRNOG00000035477	Mir8
ENSRNOG00000070492	LOC120100484
ENSRNOG00000067799	Selenow
ENSRNOG00000065673	Rnu6-1205
ENSRNOG00000049297	Ccdc179
ENSRNOG00000016964	Or51i2
ENSRNOG00000062738	LOC120100131
ENSRNOG00000040350	Mir675
ENSRNOG00000019582	Mthfd1l
ENSRNOG00000055924	LOC120100392
ENSRNOG00000060840	AABR07005031.3
ENSRNOG00000019440	Kcnn4
ENSRNOG00000053539	AABR07005886.1
ENSRNOG00000064213	LOC120100142
ENSRNOG00000065361	Snora52
ENSRNOG00000060727	Mir292
ENSRNOG00000051483	Selenow
ENSRNOG00000036711	Spn
ENSRNOG00000013149	Vps33b
ENSRNOG00000036588	AC121209.1
ENSRNOG00000016979	Or51a10
ENSRNOG00000019660	Spib
ENSRNOG00000069238	LOC120100134
ENSRNOG00000057399	Mir294
ENSRNOG00000059980	Rnu6-571
ENSRNOG00000018048	Dctn5
ENSRNOG00000010224	Rab30
ENSRNOG00000035506	Mir326
ENSRNOG00000067877	LOC120100168
ENSRNOG00000061439	LOC120100114
ENSRNOG00000051496	RGD1563099
ENSRNOG00000048582	Or51a42
ENSRNOG00000068107	LOC120100152
ENSRNOG00000064996	Mir295-1
ENSRNOG00000064379	LOC120100219
ENSRNOG00000029043	Zfp790
ENSRNOG00000017095	Dlat-ps1
ENSRNOG00000067440	Mir295-2
ENSRNOG00000065650	LOC120100179
ENSRNOG00000061383	LOC120100221
ENSRNOG00000018421	Aen
ENSRNOG00000063080	Or5p5b
ENSRNOG00000019681	Pold1
ENSRNOG00000068965	LOC120100165
ENSRNOG00000035601	Mir139
ENSRNOG00000054609	AABR07002683.1
ENSRNOG00000065353	LOC120100117
ENSRNOG00000020202	Asrgl1
ENSRNOG00000017613	Tent4a
ENSRNOG00000054831	Mir935
ENSRNOG00000055519	Zfp790
ENSRNOG00000065513	LOC120100177
ENSRNOG00000070260	Or5p5
ENSRNOG00000011234	Taf5l-ps1
ENSRNOG00000042706	LOC100271845
ENSRNOG00000059930	LOC120100430
ENSRNOG00000015997	Ccdc106
ENSRNOG00000015773	Il21r
ENSRNOG00000055020	LOC679731
ENSRNOG00000062071	LOC102548890
ENSRNOG00000066969	Zfp790
ENSRNOG00000032990	Siglecl1
ENSRNOG00000014251	Capn5
ENSRNOG00000046649	AABR07006049.1
ENSRNOG00000017214	Or52h7
ENSRNOG00000067780	LOC103691054
ENSRNOG00000025539	Vps13a
ENSRNOG00000012716	Chd2
ENSRNOG00000050922	Nupr1l1
ENSRNOG00000047479	Or52ac1
ENSRNOG00000069497	Rpl23a-ps5
ENSRNOG00000016011	Plekhg1
ENSRNOG00000020014	Myh14
ENSRNOG00000070094	Or5b107b-ps1
ENSRNOG00000055082	Maz
ENSRNOG00000019129	Fcgbp
ENSRNOG00000017960	Deaf1
ENSRNOG00000056062	LOC100912787
ENSRNOG00000070653	Or13a19
ENSRNOG00000046683	Lilrb3
ENSRNOG00000052256	Dact3
ENSRNOG00000049190	Or52n20
ENSRNOG00000057889	Or12j2
ENSRNOG00000019206	Nupr1
ENSRNOG00000011931	Smarca2
ENSRNOG00000037556	Zfp420
ENSRNOG00000063248	Or52n1b
ENSRNOG00000069498	Gvinp1
ENSRNOG00000068492	Omp
ENSRNOG00000052236	AABR07004992.1
ENSRNOG00000068138	Aldh3b2
